,level_0,index,Unnamed: 0,Unnamed: 0.1,id,title,keywords,abstract,disciplines,abstracts,num_dis
10,10,16,16,75,c6df9572-9cf7-4227-8903-e7cd24148e9c,The role of Nav in the enteric nervous system,"['gut-brain axis', 'scn11a', 'enteric nervous system', 'ion-channels', 'bowel disease', 'nav1.9', 'autonomic nervous systems']",The voltage gated sodium NaV channel subtype gene name SCN a is expressed in neural pathways and it has been shown its major contribution in pain and itch patients with a NavL P mutation consistently report debilitating sensory perception disorders not associated with skin conditions or inflammation These patients also frequently report gastrointestinal GI distortions and discomfort that frequently culminates in multiple hospital admissions for parenteral nutrition administration however different than in pain and itch the role of Nav mutation in the GI function is unexplored Preliminary data have shown that the colon transit time is decreased in knockout mice so I intend to further investigate the Nav role in the gut under normal and pathological conditions In addition since i the enteric nervous system ENS communicates with central nervous system through autonomic pathways ii the NavL P patients also report dysautonomia symptoms and iii our pilot experiments have revealed that NaV is present in the autonomic nervous system ANS I will evaluate the functionality of Nav is the ANS where it may contribute to mutation related GI pathology In a broader context my work will provide new conceptual insights into the role of Nav in the ANS ENS specially related to the gut dys function This work has the potential to expand treatment methods for bowel disorders by pharmacologically manipulating NaV channels,"['0301', '0306']",b the role of nav in the enteric nervous system the voltage gate sodium nav channel subtype gene name scn a be express in neural pathway and it have be show its major contribution in pain and itch patient with a navl p mutation consistently report debilitate sensory perception disorder not associate with skin condition or inflammation these patient also frequently report gastrointestinal gi distortion and discomfort that frequently culminate in multiple hospital admission for parenteral nutrition administration however different than in pain and itch the role of nav mutation in the gi function be unexplored preliminary datum have show that the colon transit time be decrease in knockout mouse so I intend to far investigate the nav role in the gut under normal and pathological condition in addition since I the enteric nervous system en communicate with central nervous system through autonomic pathway ii the navl p patient also report dysautonomia symptom and iii our pilot experiment have reveal that nav be present in the autonomic nervous system an I will evaluate the functionality of nav be the an where it may contribute to mutation relate gi pathology in a broad context my work will provide new conceptual insight into the role of nav in the ans ens specially related to the gut dys function this work have the potential to expand treatment method for bowel disorder by pharmacologically manipulate nav channel,2
11,11,17,17,79,fcae1028-f9fe-48e4-aa44-b3c6a302d80d,Renewable Energy SOlutions for URban communities based on Circular Economy policies and Dc backbones,"['storage', 'renewable energy', 'flexibility', 'dc backbone']",align left CHALLENGEpThe increase of renewable energy goes hand in hand with a higher demand for materials like lithium aluminium and copper Reports urge for an energy transition with energy systems thatpare more sustainable based on circular economy strategiespSOLUTIONpThe aim of RE SOURCED is to design and demonstrate a circular mid scale and self sufficient energy system in an urban environment The site consists of social family houses offices apmicrobrewery and leisure and sporting facilities on a large heritage site called TransfopThe backbone of the system is a DC direct current power grid offering efficiencies both in terms of energy savings less conversion losses and material use more capacity with the samepamount of metals materials The DC power grid links a collective set of distributed renewable resources PV and wind and energy storage second life batteries pumped and flywheelpstorage in existing structures and vehicle to grid The project proposal coincides with an acknowledgement of the site as a regulatory sandbox for which the MUA is making preparationspA local energy community in which all users participate will manage the shared infrastructure and co operationpThe lighthouse an operational circular smart grid will nurtureengage citizens An educational trajectory for citizenschildren is designed and implemented A training package forpprofessionals enables other cities to adopt integrated circular energy systems,"['0202', '0299']",b renewable energy solution for urban community base on circular economy policy and dc backbone align leave challengepthe increase of renewable energy go hand in hand with a high demand for material like lithium aluminium and copper report urge for an energy transition with energy system thatpare more sustainable base on circular economy strategiespsolutionpthe aim of re source be to design and demonstrate a circular mid scale and self sufficient energy system in an urban environment the site consist of social family house office apmicrobrewery and leisure and sporting facility on a large heritage site call transfopthe backbone of the system be a dc direct current power grid offer efficiency both in term of energy saving less conversion loss and material use more capacity with the samepamount of metal material the dc power grid link a collective set of distribute renewable resource pv and wind and energy storage second life battery pump and flywheelpstorage in exist structure and vehicle to grid the project proposal coincide with an acknowledgement of the site as a regulatory sandbox for which the mua be make preparationspa local energy community in which all user participate will manage the share infrastructure and co operationpthe lighthouse an operational circular smart grid will nurtureengage citizen an educational trajectory for citizenschildren be design and implement a training package forpprofessional enable other city to adopt integrate circular energy system,2
12,12,20,20,86,0a40c488-4e41-48b2-b158-7ece0c0740c4,Dehydrogenative electrochemical coupling reactions of aromatics with transition metal containing zeolites as catalysts ,"['catalytic c-h activation', 'zeolites', 'synthetic organic electrochemical methods']",C H Activation allows for a more cost effective and sustainable functionalization of aromatics Its industrial implementation is however hampered by a low regioselectivity by the use of costly stoichiometric oxidants or by the hazardous use of pressurized oxygen In this proposal we build upon our previous discovery of shape selectivity in the oxidative arene arene coupling catalyzed by Pd zeolites The zeolite coordinated Pd is capable of activating specific aromatic C H bonds Now we expand the scope of these reactions to couplings of arenes and olefins using not only Pd but also Rh loaded zeolites Rh appears to have reactant scopes that are complementary to those of Pd Next we attempt to find an alternative for the use of dioxygen in these dehydrogenative reactions therefore we aim at relaying the electrons from the reactants to the anode of a divided electrochemical reactor Mediators will play a key role in shuttling electrons from the zeolite confined Rh or Pd to the anode To create a maximally efficient system and to allow for future applications in flow we will design zeolite functionalized electrodes by deposition or hydrothermal synthesis of the zeolite crystals A combination of advanced operando spectroscopy kinetics and electrochemical characterization will lead to a better understanding of the catalystactive site and the mechanisms at work,"['0104', '0204']",b dehydrogenative electrochemical coupling reaction of aromatic with transition metal contain zeolite as catalyst c h activation allow for a more cost effective and sustainable functionalization of aromatic its industrial implementation be however hamper by a low regioselectivity by the use of costly stoichiometric oxidant or by the hazardous use of pressurize oxygen in this proposal we build upon our previous discovery of shape selectivity in the oxidative arene arene coupling catalyze by pd zeolites the zeolite coordinate pd be capable of activate specific aromatic c h bond now we expand the scope of these reaction to coupling of arene and olefin use not only pd but also rh loaded zeolites rh appear to have reactant scope that be complementary to those of pd next we attempt to find an alternative for the use of dioxygen in these dehydrogenative reaction therefore we aim at relay the electron from the reactant to the anode of a divided electrochemical reactor mediator will play a key role in shuttle electron from the zeolite confine rh or pd to the anode to create a maximally efficient system and to allow for future application in flow we will design zeolite functionalize electrode by deposition or hydrothermal synthesis of the zeolite crystal a combination of advanced operando spectroscopy kinetic and electrochemical characterization will lead to a well understanding of the catalystactive site and the mechanism at work,2
13,13,21,21,87,f43b78b7-ada7-4605-91b0-05a708750d1e,High performance membranes for separation of key industrial gas streams,['membrane-based co2 and olefine/paraffin separation'],Membrane based gas separation GS is considered a promising technology for CO removal capture and purification of olefin paraffin streams This project aims at improving two key aspects of membrane development A first objective entails the design of CO and olefin selective membranes with exceptional performance Two systematic research approaches are proposed to reach this goal i the tunable epoxy ether chemistry is applied as a versatile platform for the development of poly epoxyether GS membranes These membranes are very attractive for CO separations as a result of their ethylene oxide content highly cross linked nature making them chemically robust and their limited thickness lt nm ii advanced metal organic frameworks MOFs and ionic liquids ILs will constitute the core of a novel class of highly olefin selective membranes The selected MOFs and ILs are specifically equipped to achieve good olefin paraffin selectivity as they make use of the strong size sieving ability of the MOF and facilitated transport properties of the IL for selective olefin targeting A second objective is to test the performance of these membranes under realistic industrial conditions to identify their true potential and gain fundamental insights in plasticization and physical ageing phenomena that are a major roadblock for membrane commercialization Overall this should result in membranes with exceptional performance and excellent stability under industrial conditions,"['0204', '0207']",b high performance membrane for separation of key industrial gas stream membrane base gas separation gs be consider a promising technology for co removal capture and purification of olefin paraffin stream this project aim at improve two key aspect of membrane development a first objective entail the design of co and olefin selective membrane with exceptional performance two systematic research approach be propose to reach this goal I the tunable epoxy ether chemistry be apply as a versatile platform for the development of poly epoxyether gs membrane these membrane be very attractive for co separation as a result of their ethylene oxide content highly cross link nature make they chemically robust and their limited thickness lt nm ii advanced metal organic framework mof and ionic liquid il will constitute the core of a novel class of highly olefin selective membrane the select mof and il be specifically equip to achieve good olefin paraffin selectivity as they make use of the strong size sieving ability of the mof and facilitated transport property of the il for selective olefin target a second objective be to test the performance of these membrane under realistic industrial condition to identify their true potential and gain fundamental insight in plasticization and physical age phenomenon that be a major roadblock for membrane commercialization overall this should result in membrane with exceptional performance and excellent stability under industrial condition,2
14,14,25,25,95,e467c2ca-8fe7-438c-a5d5-6dc88f7b079f,The role of myeloid cells in the resolution of intestinal inflammation ,"['myeloid cells', 'intestine', 'inflammation']",Inflammatory bowel disease IBD is characterized by chronic inflammation of the gastrointestinal tract leading to debilitating symptoms such as bloody diarrhea fatigue and weight loss To date no resolutive therapies are available for IBD resulting in an invaluable impact on the health emotional financial and social state of the patients and their families Although most studies on IBD over the last decades have looked into abnormal adaptive immunity the focus has recently shifted towards an interest in alterations of the mucosal innate immune response Recent data suggest a causal link between defects in the resolution of intestinal inflammation associated with impaired bacterial clearance excessive cytokine secretion and altered monocyte to macrophage M transition in patients with IBD In line our data indicates that resolution of intestinal inflammation is dependent upon a specific subpopulation of monocyte derived Mwith pro resolving properties However despite significant advances in our understanding of M regulation and function during inflammation it is not clear how pro resolving M exert their tissue protective functions and which factors influence monocyte differentiation toward a proresolving phenotype in the gut To answer these questions we will combine state of the art transgenic mouse models of intestinal inflammation with single cell RNA sequencing to identify the molecules and pathways involved in the differentiation and function of pro resolving MUnravelling the mechanisms favouring pro resolving Mgeneration will representing a major breakthrough in our understanding of intestinal inflammation and it will be of crucial importance to develop novel therapeutic strategies in our fight against IBD,"['0302', '0301']",b the role of myeloid cell in the resolution of intestinal inflammation inflammatory bowel disease ibd be characterize by chronic inflammation of the gastrointestinal tract lead to debilitate symptom such as bloody diarrhea fatigue and weight loss to date no resolutive therapy be available for ibd result in an invaluable impact on the health emotional financial and social state of the patient and their family although most study on ibd over the last decade have look into abnormal adaptive immunity the focus have recently shift towards an interest in alteration of the mucosal innate immune response recent datum suggest a causal link between defect in the resolution of intestinal inflammation associate with impaired bacterial clearance excessive cytokine secretion and alter monocyte to macrophage m transition in patient with ibd in line our data indicate that resolution of intestinal inflammation be dependent upon a specific subpopulation of monocyte derive mwith pro resolve property however despite significant advance in our understanding of m regulation and function during inflammation it be not clear how pro resolve m exert their tissue protective function and which factor influence monocyte differentiation toward a proresolving phenotype in the gut to answer these question we will combine state of the art transgenic mouse model of intestinal inflammation with single cell rna sequence to identify the molecule and pathway involve in the differentiation and function of pro resolve munravelle the mechanism favour pro resolve mgeneration will represent a major breakthrough in our understanding of intestinal inflammation and it will be of crucial importance to develop novel therapeutic strategy in our fight against ibd,2
15,15,29,29,109,c0b58aaf-eff9-4d00-9ce2-de7300455341,Profiling of abnormal knee joint loading to reduce risk of posttraumatic Knee Osteoarthritis following Anterior Cruciate Ligament reconstruction ,['post-traumatic osteoarthtritis'],Anterior Cruciate Ligament ACL injuries are of particular concern to the young and active part of our population as about of patients with ACL injury can expect to suffer from premature cartilage degeneration osteoarthritis OA within years after the injury The primary cause of this cartilage degeneration is believed to be the many repetitions of pathological loading on the musculoskeletal structures knee joint pathomechanics KJPM during everyday activities However the underlying mechanisms of KJPM associated with knee trauma and their changes over time still need to be explored This is crucial with the aim of preventing post traumatic OA PTOA With state of the art imaging and motion capture methods we will first construct a comprehensive and longitudinal joint cartilage loading profile of those patients and determine the proxy factors leading to pathological force distributions We will then utilize that knowledge to develop and provide proof of concept for a rehabilitation intervention with real time feedback on the knee loading proxies adapted to the specific needs of each individual patient This project is the first step to unravel the factors leading to early OA development Ultimately this will allow us to optimize ACL and knee injury rehabilitation programs such that not just return to an active lifestyle is achieved in the short term but also early onset of OA is prevented in the long term,"['0301', '0304']",b profiling of abnormal knee joint loading to reduce risk of posttraumatic knee osteoarthritis follow anterior cruciate ligament reconstruction anterior cruciate ligament acl injury be of particular concern to the young and active part of our population as about of patient with acl injury can expect to suffer from premature cartilage degeneration osteoarthritis oa within year after the injury the primary cause of this cartilage degeneration be believe to be the many repetition of pathological loading on the musculoskeletal structure knee joint pathomechanic kjpm during everyday activity however the underlie mechanism of kjpm associate with knee trauma and their change over time still need to be explore this be crucial with the aim of prevent post traumatic oa ptoa with state of the art imaging and motion capture method we will first construct a comprehensive and longitudinal joint cartilage loading profile of those patient and determine the proxy factor lead to pathological force distribution we will then utilize that knowledge to develop and provide proof of concept for a rehabilitation intervention with real time feedback on the knee loading proxy adapt to the specific need of each individual patient this project be the first step to unravel the factor lead to early oa development ultimately this will allow we to optimize acl and knee injury rehabilitation program such that not just return to an active lifestyle be achieve in the short term but also early onset of oa be prevent in the long term,2
16,16,31,31,124,cbfe15ae-f02e-4927-b445-c8469aef4b93,The fate of planets orbiting dying stars ,"['stellar evolution', 'exoplanetary atmospheres']",Currently more than exoplanets have been discovered with over orbiting main sequence stars But the evolution of a star and its planets does not end on the main sequence All solar type stars will evolve through the Asymptotic Giant Branch AGB phase at the end of their life during which the star expands in size becomes extremely luminous and develops a strong stellar wind The question then arises if planets can survive stellar evolution Detections of planets orbiting AGB stars have remained tantalizingly out of reach until in the first observational evidence was published Thanks to a large observational campaign of my supervisor the number of detected planets orbiting AGB stars issteadily increasing While the impact of the giant evolution on the planetorbital separation has been studied by various authors the effects on the physical and chemical state of the planetatmosphere have barely been addressed A planet will simultaneously change its orbit be tidally influenced accrete stellar ejecta evaporate from stellar radiation suffer from stellar wind ram pressure alter its chemical composition and cloud deck etc This mounting suite of observations necessitates a new level of theoretical scrutiny that considers these mechanisms and potential feedback factors This will provide a foundation for the interpretation of the data and allows us to put the distant future of the Solar and other planetary systems in proper perspective ,"['0103', '0101']",b the fate of planet orbit die star currently more than exoplanet have be discover with over orbit main sequence star but the evolution of a star and its planet do not end on the main sequence all solar type star will evolve through the asymptotic giant branch agb phase at the end of their life during which the star expand in size become extremely luminous and develop a strong stellar wind the question then arise if planet can survive stellar evolution detection of planet orbit agb star have remain tantalizingly out of reach until in the first observational evidence be publish thank to a large observational campaign of my supervisor the number of detect planet orbit agb star issteadily increase while the impact of the giant evolution on the planetorbital separation have be study by various author the effect on the physical and chemical state of the planetatmosphere have barely be address a planet will simultaneously change its orbit be tidally influence accrete stellar ejecta evaporate from stellar radiation suffer from stellar wind ram pressure alter its chemical composition and cloud deck etc this mount suite of observation necessitate a new level of theoretical scrutiny that consider these mechanism and potential feedback factor this will provide a foundation for the interpretation of the datum and allow we to put the distant future of the solar and other planetary system in proper perspective,2
17,17,32,32,128,b7d87409-7d53-4b01-a871-e8cb4d76c433,Uncovering the mechanisms of X chromosome inactivation and reactivation in mammals,"['epigenetics', 'early embryonic development', 'stem cells', 'xci', 'xcr', 'polycomb', 'xist', 'tscs', 'ipscs']",Mammalian dosage compensation between XX female and XY male is mediated by X chromosome inactivation XCI Failure to undergo XCI in mice is lethal in XX individuals XCI has served as an important paradigm to study epigenetic regulation Studies in mouse pluripotent stem cells PSCs have revealed insights into the transcriptional and chromatin dynamics of XCI and its mechanisms However recent work suggests important differences in XCI in mouse and human embryos The timing and dynamics of XCI and the role of long non coding RNAs appear to differ between mouse and human Here I will make use of human na ve pluripotent stem cells to model XCI in humans I will induce human na ve pluripotent stem cells to differentiate into specific lineages and use molecular analyses to document XCI I will examine the kinetics of gene expression using single cell resolution approaches including RNA sequencing and RNA in situ hybridization I will document the expression of long non coding RNAs and chromatin regulators I will also investigate mechanisms by using pluripotent stem cell line mutated for candidate regulators of XCI as well as gain of function studies This work will help to better understand the regulation of epigenetic mechanisms and early human embryo development,"['0301', '0106']",b uncovere the mechanism of x chromosome inactivation and reactivation in mammal mammalian dosage compensation between xx female and xy male be mediate by x chromosome inactivation xci failure to undergo xci in mouse be lethal in xx individual xci have serve as an important paradigm to study epigenetic regulation study in mouse pluripotent stem cell psc have reveal insight into the transcriptional and chromatin dynamic of xci and its mechanism however recent work suggest important difference in xci in mouse and human embryo the timing and dynamic of xci and the role of long non code rna appear to differ between mouse and human here I will make use of human na ve pluripotent stem cell to model xci in human I will induce human na ve pluripotent stem cell to differentiate into specific lineage and use molecular analysis to document xci I will examine the kinetic of gene expression use single cell resolution approach include rna sequencing and rna in situ hybridization I will document the expression of long non code rna and chromatin regulator I will also investigate mechanism by use pluripotent stem cell line mutate for candidate regulator of xci as well as gain of function study this work will help to well understand the regulation of epigenetic mechanism and early human embryo development,2
18,18,33,33,130,1bce7de7-f333-400f-ace8-05ff9a88b415,Multidimensional translational study to improve the diagnostic workup in adult acquired spinal cord injury secondary to degenerative changes of the cervical spine ,"['acquired spinal cord injury', 'degenerative cervical myelopathy', 'biomarkers']",Adult non traumatic spinal cord injury is caused by an acquired and progressive stenosis of the cervical spinal canal with chronic compression of the spinal cord The most common cause is a degenerative process named degenerative cervical myelopathy DCM This disease is being diagnosed with increasing prevalence because of the aging population To date various biomarkers of spinal cord tissue damage by chronic compression have been investigated but without comparison in terms of efficacy and ease of use in daily practice The goal of this research project is to improve the diagnostic work up in the patient with DCM for a more personalized approach and better functional outcome To this end we will perform a prospective study in DCM patients that are being treated surgically in which a multimodal assessment is performed at time points We aim to identify predictive factors and patientsubpopulations that are related with disease progression and outcomes after surgery Furthermore a preclinical study to make a timeline of the histological evolution and to link the biomarkers to histological changes will be done in an established rat model of DCM The results of the animal study will be integrated in an improved model for pathogenesis of the disease ,"['0306', '0301']",b multidimensional translational study to improve the diagnostic workup in adult acquire spinal cord injury secondary to degenerative change of the cervical spine adult non traumatic spinal cord injury be cause by an acquire and progressive stenosis of the cervical spinal canal with chronic compression of the spinal cord the most common cause be a degenerative process name degenerative cervical myelopathy dcm this disease be be diagnose with increase prevalence because of the age population to date various biomarker of spinal cord tissue damage by chronic compression have be investigate but without comparison in term of efficacy and ease of use in daily practice the goal of this research project be to improve the diagnostic work up in the patient with dcm for a more personalized approach and well functional outcome to this end we will perform a prospective study in dcm patient that be be treat surgically in which a multimodal assessment be perform at time point we aim to identify predictive factor and patientsubpopulation that be relate with disease progression and outcome after surgery furthermore a preclinical study to make a timeline of the histological evolution and to link the biomarker to histological change will be do in an establish rat model of dcm the result of the animal study will be integrate in an improved model for pathogenesis of the disease,2
19,19,35,35,141,ed30049d-e739-44e6-808d-43ec05fe55ed,Objectifying performance assessments and personalized rehabilitation trajectories to improve return to work in failed back surgery patients ,"['back pain', 'return to work', 'functional capacity evaluation', 'biopsychosocial approach']",align left Treatment of Failed Back Surgery Syndrome FBSS is very complex However the incidence of patients that will develops FBSS after lumbar spinal surgery ranges from depending on the type of surgery For therapy refractory FBSS meaning conservative treatment did not achieve adequate pain relief Spinal Cord Stimulation SCS may serve as minimally invasive treatmentpDespite the favourable results of a meta analysis that SCS is an effective approach to stimulate return to work RTW and despite the beliefs of patients that RTW is a reachable goal after SCS treatment less thanpof patients implanted with SCS is returning to work Therefore it seems that current post operative interventions among which rehabilitation are not effective for achieving RTW after SCS implantation in clinical practicepTherefore within the current innovative project we propose a personalized biopsychosocial rehabilitation program specifically targeting RTW as the new treatment for patients implanted with SCS This allows us to tackle the high burden of patients that are not re entering the labour market by proceeding towards a multidisciplinary comprehensive evidence based conservative intervention for a costly and debilitating conditionpThe objectives of the study are to examine if a personalized biopsychosocial rehabilitation program specifically targeting RTW is more effective than the usual care for improving the physical ability to work increasing RTW rates improving functioning in daily life and general quality of life and decreasing healthcare expenditure in FBSS patients after SCS implantation In this project FBSS patients treated with SCS will be randomly divided in two groups per group namely the experimental intervention or the usual care program Comparisons will be made for physical ability to work work status and health care expenditure,"['0304', '0303']",b objectifye performance assessment and personalized rehabilitation trajectory to improve return to work in fail back surgery patient align leave treatment of fail back surgery syndrome fbss be very complex however the incidence of patient that will develop fbss after lumbar spinal surgery range from depend on the type of surgery for therapy refractory fbss mean conservative treatment do not achieve adequate pain relief spinal cord stimulation scs may serve as minimally invasive treatmentpdespite the favourable result of a meta analysis that scs be an effective approach to stimulate return to work rtw and despite the belief of patient that rtw be a reachable goal after scs treatment less thanpof patient implant with scs be return to work therefore it seem that current post operative intervention among which rehabilitation be not effective for achieve rtw after scs implantation in clinical practiceptherefore within the current innovative project we propose a personalized biopsychosocial rehabilitation program specifically target rtw as the new treatment for patient implant with scs this allow we to tackle the high burden of patient that be not re enter the labour market by proceed towards a multidisciplinary comprehensive evidence base conservative intervention for a costly and debilitate conditionpthe objective of the study be to examine if a personalized biopsychosocial rehabilitation program specifically target rtw be more effective than the usual care for improve the physical ability to work increase rtw rate improve function in daily life and general quality of life and decrease healthcare expenditure in fbss patient after scs implantation in this project fbss patient treat with scs will be randomly divide in two group per group namely the experimental intervention or the usual care program comparison will be make for physical ability to work work status and health care expenditure,2
20,20,36,36,161,e8097656-0865-4eb8-848b-1ab540033a7a,Neurological factors challenging bimanual motor control and treatment response in children with unilateral cerebral palsy ,"['rehabilitation sciences', 'bimanual motor control', 'children', 'pediatric rehabilitation', 'unilateral cerebral palsy', 'rehabilitation robotics']",Children with unilateral Cerebral Palsy uCP present with many sensorimotor deficits in their impaired arm compromising effective use in daily life activities Accurate motor control between both arms is vital in performing bimanual tasks This proposal is triggered by the need to provide well targeted treatment plans optimizing bimanual motor control as such improving the childparticipation in daily life Yet bimanual motor control is not well understood and the brain dysfunctions challenging bimanual motor control in children with uCP have been poorly investigated However recent advancements in robotics and kinematics allow us to obtain finegrained information of how both arms are used together during complex bimanual tasks In this project we aim to improve our current understanding of bimanual motor control and treatment response in children with uCP We will first acquire an in depth quantification of bimanual motor control and secondly examine the role of neurological factors influencing bimanual motor control in children with uCP istructural connectivity of the corpus callosum corticospinal tract wiring pattern and integrity of the sensory systems Last we will investigate the efficacy of an integrated somatosensory and bimanual motor therapy program and identify the best responders Hence the findings of this project will result in an advanced understanding of bimanual motor control and contribute to tailor made intervention programs ,"['0302', '0304']",b neurological factor challenge bimanual motor control and treatment response in child with unilateral cerebral palsy child with unilateral cerebral palsy ucp present with many sensorimotor deficit in their impaired arm compromise effective use in daily life activity accurate motor control between both arm be vital in perform bimanual task this proposal be trigger by the need to provide well targeted treatment plan optimize bimanual motor control as such improve the childparticipation in daily life yet bimanual motor control be not well understand and the brain dysfunction challenge bimanual motor control in child with ucp have be poorly investigate however recent advancement in robotic and kinematic allow we to obtain finegrained information of how both arm be use together during complex bimanual task in this project we aim to improve our current understanding of bimanual motor control and treatment response in child with ucp we will first acquire an in depth quantification of bimanual motor control and secondly examine the role of neurological factor influence bimanual motor control in child with ucp istructural connectivity of the corpus callosum corticospinal tract wiring pattern and integrity of the sensory system last we will investigate the efficacy of an integrate somatosensory and bimanual motor therapy program and identify the good responder hence the finding of this project will result in an advanced understanding of bimanual motor control and contribute to tailor make intervention program,2
21,21,37,37,186,4c8d9b51-0bb8-4ae9-a49c-4048758da08f,Extensive preclinical validation of combinations of targeted treatment for peripheral T cell lymphoma,"['non-clinical studies', 'hematology', 'cell signaling', 'cancer biology', 'cancer therapy', 'lymphoma']",Peripheral T cell lymphoma PTCL is a rare T cell neoplasm for which no effective treatment is available other than chemotherapy Previous data from our lab indicates that up to of PTCL cases harbor mutations in components of T cell receptor TCR signaling and we hypothesize that this could be targeted with an overarching approach Therefore the aim of this project is to further explore the possibility to target downstream effectors of the TCR signaling pathway in the in vivo pre clinical models we have already generated First of all I will validate the role of TCR signaling pathway mutations in activating this pathway Secondly I aim to study the efficacy of combined targeted treatments in vivo as we have preliminary in vitro evidence for the efficacy of specific compounds targeting NF kB or MAPK signaling We have also generated evidence that overactivation of TCR signaling leads to an increased sensitivity for compounds that target apoptosis Therefore I will perform an apoptosis compound screen and select the most promising hits of this screen for further validation ex vivo and in vivo Finally we want to establish PTCL patient derived xenograft PDX models which I will use to validate our findings This research aims to provide new rationales for the set up of clinical trials for PTCL patients Ultimately we want to instigate investigator driven trials at UZ Leuven and beyond based on our findings from these pre clinical studies ,"['0301', '0306']",b extensive preclinical validation of combination of target treatment for peripheral t cell lymphoma peripheral t cell lymphoma ptcl be a rare t cell neoplasm for which no effective treatment be available other than chemotherapy previous datum from our lab indicate that up to of ptcl case harbor mutation in component of t cell receptor tcr signal and we hypothesize that this could be target with an overarch approach therefore the aim of this project be to far explore the possibility to target downstream effector of the tcr signal pathway in the in vivo pre clinical model we have already generate first of all I will validate the role of tcr signal pathway mutation in activate this pathway secondly I aim to study the efficacy of combine target treatment in vivo as we have preliminary in vitro evidence for the efficacy of specific compound target nf kb or mapk signal we have also generate evidence that overactivation of tcr signal lead to an increase sensitivity for compound that target apoptosis therefore I will perform an apoptosis compound screen and select the most promising hit of this screen for further validation ex vivo and in vivo finally we want to establish ptcl patient derive xenograft pdx model which I will use to validate our finding this research aim to provide new rationale for the set up of clinical trial for ptcl patient ultimately we want to instigate investigator drive trial at uz leuven and beyond base on our finding from these pre clinical study,2
22,22,38,38,200,60014188-bdb5-424f-813d-0d1fbe1b50a0,The confining flux tube vs the Casimir effect from zero to finite temperature an old story in a new jacket ,"['quantum chromodynamics (qcd)', 'casimir effect', '(de)confinement', 'flux tube', 'gribov ambiguity']",We will investigate the formation of the QCD flux tube confining string between static charges quark and anti quark in terms of the Casimir force The latter is a famous consequence of thenon emptiness of the quantum vacuum with experimental verification in the QED aka quantumelectrodynamics case parallel uncharged plates undergo a net force due to the quantizedelectromagnetic field In the case of QCD aka quantum chromodynamics which handles the strong nuclear color force the Casimir force is far less understood Our working hypothesis is that in the non perturbative QCD vacuum the Casimir effect favours the formation of an energetically stable D cylinder shape between the boundary charges embedded in the normal vacuum Inspiration is drawn from the old nucleonic bag models We will develop our new methodology for the non Abelian gauge theory in dimensions where the cylinder becomes a rectangle making the computations somewhat easier A first novelty in our approach will come from QCD vacuum effects encoded by a non perturbativepath integration scheme viz the Gribov Zwanziger approach The associated mass gap equation will have an interesting interplay with the geometric cylinder rectangle parameters and thence can drive the tube formation A second novelty will be the inclusion of boundary charges in a gauge invariant fashion via non local dressed field configurations Finally we will probe the melting properties of the tube if the temperature is switched on in search of a fresh perspective on the deconfinement phase transition ,"['0103', '0101']",b the confine flux tube vs the casimir effect from zero to finite temperature an old story in a new jacket we will investigate the formation of the qcd flux tube confine string between static charge quark and anti quark in term of the casimir force the latter be a famous consequence of thenon emptiness of the quantum vacuum with experimental verification in the qed aka quantumelectrodynamic case parallel uncharged plate undergo a net force due to the quantizedelectromagnetic field in the case of qcd aka quantum chromodynamic which handle the strong nuclear color force the casimir force be far less understand our work hypothesis be that in the non perturbative qcd vacuum the casimir effect favour the formation of an energetically stable d cylinder shape between the boundary charge embed in the normal vacuum inspiration be draw from the old nucleonic bag model we will develop our new methodology for the non abelian gauge theory in dimension where the cylinder become a rectangle make the computation somewhat easy a first novelty in our approach will come from qcd vacuum effect encode by a non perturbativepath integration scheme viz the gribov zwanziger approach the associated mass gap equation will have an interesting interplay with the geometric cylinder rectangle parameter and thence can drive the tube formation a second novelty will be the inclusion of boundary charge in a gauge invariant fashion via non local dressed field configuration finally we will probe the melting property of the tube if the temperature be switch on in search of a fresh perspective on the deconfinement phase transition,2
