id	label	x	y	cluster	weight<Links>	weight<Total link strength>
58	4011 Environmental Engineering	-0.7327	0.5545	8	3	100
59	4012 Fluid Mechanics and Thermal Engineering	-0.5767	0.0467	6	9	124
60	4016 Materials Engineering	-0.91	0.0048	4	12	692
61	4018 Nanotechnology	-0.8886	0.0101	4	14	240
62	4101 Climate Change Impacts and Adaptation	-0.2899	0.3489	3	9	128
63	4102 Ecological Applications	-0.3139	0.3925	3	9	252
64	4104 Environmental Management	-0.0793	0.2254	3	13	120
65	4105 Pollution and Contamination	-0.44	0.412	3	8	128
66	4201 Allied Health and Rehabilitation Science	0.3434	0.4228	11	8	308
67	4203 Health Services and Systems	0.6501	0.3307	11	17	488
68	4205 Nursing	0.7372	0.3956	11	1	224
69	4206 Public Health	0.6575	0.19	11	8	172
70	4207 Sports Science and Exercise	0.4117	0.4379	11	7	160
71	4301 Archaeology	0.8062	-0.6689	2	3	424
72	4302 Heritage, Archive and Museum Studies	0.2337	-0.2943	2	8	204
73	4303 Historical Studies	0.6985	-0.5149	2	15	1088
74	4402 Criminology	1.0141	-0.2148	1	8	252
75	4403 Demography	0.6106	-0.0412	2	14	224
76	4404 Development Studies	0.6403	-0.1079	1	10	92
77	4405 Gender Studies	0.6282	-0.3006	2	12	108
78	4406 Human Geography	0.5196	-0.155	2	12	328
79	4407 Policy and Administration	0.7157	-0.2033	1	16	448
80	4408 Political Science	0.7104	-0.2965	1	17	596
81	4410 Sociology	0.622	-0.2106	2	8	196
82	4602 Artificial Intelligence	-0.039	-0.1382	5	10	188
83	4603 Computer Vision and Multimedia Computation	-0.3307	-0.3617	5	6	144
84	4604 Cybersecurity and Privacy	0.007	-0.2816	5	14	180
85	4605 Data Management and Data Science	-0.1679	-0.1727	5	15	312
86	4606 Distributed Computing and Systems Software	-0.081	-0.2674	5	10	228
87	4608 Human-Centred Computing	0.0617	-0.2097	5	12	104
88	4611 Machine Learning	0.0206	-0.0123	5	8	200
89	4612 Software Engineering	-0.1252	-0.3097	5	7	96
90	4613 Theory Of Computation	-0.2877	-0.3373	5	6	140
91	4701 Communication and Media Studies	0.5007	-0.3899	2	6	180
92	4702 Cultural Studies	0.5982	-0.245	2	16	208
93	4703 Language Studies	1.6877	0.2883	7	1	408
94	4704 Linguistics	1.5357	0.2569	7	9	528
95	4705 Literary Studies	0.7757	-0.4134	2	9	328
96	4801 Commercial Law	0.8136	-0.199	1	8	116
97	4803 International and Comparative Law	0.6752	-0.1399	1	8	88
98	4804 Law In Context	0.8002	-0.2373	1	7	100
99	4805 Legal Systems	1.0384	-0.2306	1	3	224
100	4806 Private Law and Civil Obligations	0.814	-0.1952	1	9	124
101	4807 Public Law	0.7653	-0.2107	1	12	244
102	4901 Applied Mathematics	-0.3315	-0.2847	6	7	88
103	4902 Mathematical Physics	-0.761	-0.8129	9	5	256
104	4904 Pure Mathematics	-0.5293	-0.6819	9	4	228
105	5001 Applied Ethics	0.8295	-0.1912	1	4	108
106	5002 History and Philosophy Of Specific Fields	0.418	-0.5835	9	9	392
107	5003 Philosophy	0.2035	-0.624	9	4	212
108	5004 Religious Studies	0.684	-0.2287	2	8	204
109	5005 Theology	0.71	-0.3073	2	8	120
110	5101 Astronomical Sciences	-0.7866	0.293	3	6	132
111	5102 Atomic, Molecular and Optical Physics	-1.0898	-0.1762	4	4	172
112	5104 Condensed Matter Physics	-1.0035	-0.1228	4	9	212
113	5106 Nuclear and Plasma Physics	-1.5749	-1.4435	9	7	592
114	5107 Particle and High Energy Physics	-1.4274	-1.3606	9	3	504
115	5108 Quantum Physics	-1.065	-0.2188	4	8	156
116	5109 Space Sciences	-0.7862	0.312	3	3	156
117	5110 Synchrotrons and Accelerators	-1.7011	-1.5653	9	1	136
118	5201 Applied and Developmental Psychology	0.8842	0.2251	7	4	144
119	5202 Biological Psychology	0.5294	0.3581	7	16	740
120	5204 Cognitive and Computational Psychology	0.882	0.311	7	8	436
121	5205 Social and Personality Psychology	0.5915	0.0479	2	8	52
